idx,source,variant,actual,detected,score,matches,elapsed_s,error
1,garuda__Medicine_Pharmacology__Pendidikan_Dan_Penerapan_Pijat_Oksitosin_Dan_Oketani_Dalam_M_88216dba43.txt,exact,True,True,0.841,1,36.7,""
2,garuda__Medicine_Pharmacology__Pendidikan_Dan_Penerapan_Pijat_Oksitosin_Dan_Oketani_Dalam_M_88216dba43.txt,paraphrase,True,True,0.831,1,39.9,""
3,garuda__Medicine_Pharmacology__Pendidikan_Dan_Penerapan_Pijat_Oksitosin_Dan_Oketani_Dalam_M_88216dba43.txt,light_modify,True,True,0.781,1,37.1,""
4,garuda__Public_Health__Perilaku_Positif_Bidan_dalam_Pelaksanaan_Inisiasi_Menyusu_Di_558bede616.txt,exact,True,True,0.922,1,37.6,""
5,garuda__Public_Health__Perilaku_Positif_Bidan_dalam_Pelaksanaan_Inisiasi_Menyusu_Di_558bede616.txt,paraphrase,True,True,0.903,1,38.2,""
6,garuda__Public_Health__Perilaku_Positif_Bidan_dalam_Pelaksanaan_Inisiasi_Menyusu_Di_558bede616.txt,light_modify,True,True,0.882,1,37.9,""
7,garuda__Computer_Science_IT__Building_Consumer_Loyalty_Through_Digital_Marketing_Strategi_3081a0d519.txt,exact,True,True,0.973,1,36.7,""
8,garuda__Computer_Science_IT__Building_Consumer_Loyalty_Through_Digital_Marketing_Strategi_3081a0d519.txt,paraphrase,True,True,0.945,1,38.2,""
9,garuda__Computer_Science_IT__Building_Consumer_Loyalty_Through_Digital_Marketing_Strategi_3081a0d519.txt,light_modify,True,True,0.856,1,36.6,""
10,garuda__Education__Enhanching_Students_Mathematical_Critical_Thinking_Skills_th_0b1863671a.txt,exact,True,True,0.993,1,40.8,""
11,garuda__Education__Enhanching_Students_Mathematical_Critical_Thinking_Skills_th_0b1863671a.txt,paraphrase,True,True,0.946,1,36.8,""
12,garuda__Education__Enhanching_Students_Mathematical_Critical_Thinking_Skills_th_0b1863671a.txt,light_modify,True,True,0.835,1,39.4,""
13,garuda__Computer_Science_IT__Pendampingan_Edukasi_Digital_Entrepreneur_Serta_Literasi_Dig_5eed89b7be.txt,exact,True,True,0.904,1,37.0,""
14,garuda__Computer_Science_IT__Pendampingan_Edukasi_Digital_Entrepreneur_Serta_Literasi_Dig_5eed89b7be.txt,paraphrase,True,True,0.91,1,37.2,""
15,garuda__Computer_Science_IT__Pendampingan_Edukasi_Digital_Entrepreneur_Serta_Literasi_Dig_5eed89b7be.txt,light_modify,True,True,0.814,1,39.3,""
16,garuda__Computer_Science_IT__Integrasi_Gemini_AI_Berbasis_Retrieval_Augmented_Generation_d0e6290f09.txt,exact,True,True,0.847,1,38.4,""
17,garuda__Computer_Science_IT__Integrasi_Gemini_AI_Berbasis_Retrieval_Augmented_Generation_d0e6290f09.txt,paraphrase,True,True,0.847,1,40.4,""
18,garuda__Computer_Science_IT__Integrasi_Gemini_AI_Berbasis_Retrieval_Augmented_Generation_d0e6290f09.txt,light_modify,True,True,0.759,1,38.9,""
19,garuda__Economics__PENGARUH_LATAR_BELAKANG_PENDIDIKAN_LAMANYA_BEKERJA_DAN_KEMAM_53cecfba52.txt,exact,True,True,0.317,1,35.7,""
20,garuda__Economics__PENGARUH_LATAR_BELAKANG_PENDIDIKAN_LAMANYA_BEKERJA_DAN_KEMAM_53cecfba52.txt,paraphrase,True,True,0.303,1,38.2,""
21,garuda__Economics__PENGARUH_LATAR_BELAKANG_PENDIDIKAN_LAMANYA_BEKERJA_DAN_KEMAM_53cecfba52.txt,light_modify,True,True,0.864,1,38.5,""
22,garuda__Computer_Science_IT__Sosialisasi_Anti_Narkoba_di_Kalangan_Pelajar_Mencegah_Penyal_c44e1fd655.txt,exact,True,True,0.881,1,36.6,""
23,garuda__Computer_Science_IT__Sosialisasi_Anti_Narkoba_di_Kalangan_Pelajar_Mencegah_Penyal_c44e1fd655.txt,paraphrase,True,True,0.835,1,36.5,""
24,garuda__Computer_Science_IT__Sosialisasi_Anti_Narkoba_di_Kalangan_Pelajar_Mencegah_Penyal_c44e1fd655.txt,light_modify,True,True,0.815,1,36.1,""
25,garuda__Engineering__Penguatan_Kapasitas_Kewirausahaan_Mahasiswa_TGBC_Thailand_me_bf4b9ace7b.txt,exact,True,True,0.491,1,36.1,""
26,garuda__Engineering__Penguatan_Kapasitas_Kewirausahaan_Mahasiswa_TGBC_Thailand_me_bf4b9ace7b.txt,paraphrase,True,True,0.434,1,37.7,""
27,garuda__Engineering__Penguatan_Kapasitas_Kewirausahaan_Mahasiswa_TGBC_Thailand_me_bf4b9ace7b.txt,light_modify,True,True,0.319,1,37.2,""
28,garuda__Computer_Science_IT__EMPOWERING_LEMPANGANG_VILLAGE_YOUTH_THROUGH_THE_LEMPANGANG_E_a7f1bb483b.txt,exact,True,True,0.993,1,37.3,""
29,garuda__Computer_Science_IT__EMPOWERING_LEMPANGANG_VILLAGE_YOUTH_THROUGH_THE_LEMPANGANG_E_a7f1bb483b.txt,paraphrase,True,True,0.967,1,36.0,""
30,garuda__Computer_Science_IT__EMPOWERING_LEMPANGANG_VILLAGE_YOUTH_THROUGH_THE_LEMPANGANG_E_a7f1bb483b.txt,light_modify,True,True,0.858,1,37.3,""
31,garuda__Environmental_Science__Pemanfaatan_Teknologi_Tepat_Guna_Sistem_Sprinkle_untuk_Mendu_8d3557faf0.txt,exact,True,True,0.982,1,37.6,""
32,garuda__Environmental_Science__Pemanfaatan_Teknologi_Tepat_Guna_Sistem_Sprinkle_untuk_Mendu_8d3557faf0.txt,paraphrase,True,True,0.948,1,37.5,""
33,garuda__Environmental_Science__Pemanfaatan_Teknologi_Tepat_Guna_Sistem_Sprinkle_untuk_Mendu_8d3557faf0.txt,light_modify,True,True,0.846,1,38.3,""
34,garuda__Computer_Science_IT__Meningkatkan_Kompetensi_Menulis_Artikel_bagi_Guru_melalui_Wo_d7fb0be2a1.txt,exact,True,True,0.92,1,38.5,""
35,garuda__Computer_Science_IT__Meningkatkan_Kompetensi_Menulis_Artikel_bagi_Guru_melalui_Wo_d7fb0be2a1.txt,paraphrase,True,True,0.913,1,35.1,""
36,garuda__Computer_Science_IT__Meningkatkan_Kompetensi_Menulis_Artikel_bagi_Guru_melalui_Wo_d7fb0be2a1.txt,light_modify,True,True,0.828,1,36.9,""
37,garuda__Medicine_Pharmacology__Patient_perception_of_junior_interns_professionalism_in_teac_eb2ea70524.txt,exact,True,True,0.971,1,35.8,""
38,garuda__Medicine_Pharmacology__Patient_perception_of_junior_interns_professionalism_in_teac_eb2ea70524.txt,paraphrase,True,True,0.966,1,37.1,""
39,garuda__Medicine_Pharmacology__Patient_perception_of_junior_interns_professionalism_in_teac_eb2ea70524.txt,light_modify,True,True,0.783,1,37.7,""
40,garuda__Medicine_Pharmacology__An_analysis_of_differences_in_kellgren_lawrence_scores_betwe_19d228085e.txt,exact,True,True,0.982,1,39.7,""
41,garuda__Medicine_Pharmacology__An_analysis_of_differences_in_kellgren_lawrence_scores_betwe_19d228085e.txt,paraphrase,True,True,0.935,1,41.6,""
42,garuda__Medicine_Pharmacology__An_analysis_of_differences_in_kellgren_lawrence_scores_betwe_19d228085e.txt,light_modify,True,True,0.858,1,37.9,""
43,garuda__Computer_Science_IT__PELATIHAN_PEMANFAATAN_TEKNOLOGI_DIGITAL_DALAM_VISUALISASI_DA_edcb6df273.txt,exact,True,True,0.991,1,37.3,""
44,garuda__Computer_Science_IT__PELATIHAN_PEMANFAATAN_TEKNOLOGI_DIGITAL_DALAM_VISUALISASI_DA_edcb6df273.txt,paraphrase,True,True,0.978,1,38.5,""
45,garuda__Computer_Science_IT__PELATIHAN_PEMANFAATAN_TEKNOLOGI_DIGITAL_DALAM_VISUALISASI_DA_edcb6df273.txt,light_modify,True,True,0.901,1,35.7,""
46,garuda__Computer_Science_IT__MODEL_PENGEMBANGAN_KAPASITAS_DIGITAL_UMKM_SEKTOR_F_B_STUDI_K_cfbd9fa415.txt,exact,True,True,0.827,1,39.0,""
47,garuda__Computer_Science_IT__MODEL_PENGEMBANGAN_KAPASITAS_DIGITAL_UMKM_SEKTOR_F_B_STUDI_K_cfbd9fa415.txt,paraphrase,True,True,0.827,1,35.5,""
48,garuda__Computer_Science_IT__MODEL_PENGEMBANGAN_KAPASITAS_DIGITAL_UMKM_SEKTOR_F_B_STUDI_K_cfbd9fa415.txt,light_modify,True,False,0.0,0,37.8,""
49,garuda__Education__The_Implementation_of_Google_Platform_Assisted_E_Learning_to_540aa9f69a.txt,exact,True,True,0.994,1,36.4,""
50,garuda__Education__The_Implementation_of_Google_Platform_Assisted_E_Learning_to_540aa9f69a.txt,paraphrase,True,True,0.947,1,36.2,""
51,garuda__Education__The_Implementation_of_Google_Platform_Assisted_E_Learning_to_540aa9f69a.txt,light_modify,True,True,0.874,1,35.7,""
52,garuda__Computer_Science_IT__Peningkatan_Pemahaman_Guru_PJOK_Melalui_Tes_Dan_Pengukuran_O_32db027381.txt,exact,True,True,0.832,1,36.6,""
53,garuda__Computer_Science_IT__Peningkatan_Pemahaman_Guru_PJOK_Melalui_Tes_Dan_Pengukuran_O_32db027381.txt,paraphrase,True,True,0.825,1,36.8,""
54,garuda__Computer_Science_IT__Peningkatan_Pemahaman_Guru_PJOK_Melalui_Tes_Dan_Pengukuran_O_32db027381.txt,light_modify,True,True,0.756,1,34.9,""
55,garuda__Social_Sciences__Peningkatan_Kapasitas_Sumber_Daya_Manusia_SDM_Aparatur_Desa_213dbfad5b.txt,exact,True,True,0.994,1,36.6,""
56,garuda__Social_Sciences__Peningkatan_Kapasitas_Sumber_Daya_Manusia_SDM_Aparatur_Desa_213dbfad5b.txt,paraphrase,True,True,0.931,1,35.9,""
57,garuda__Social_Sciences__Peningkatan_Kapasitas_Sumber_Daya_Manusia_SDM_Aparatur_Desa_213dbfad5b.txt,light_modify,True,True,0.879,1,34.8,""
58,garuda__Law__Balancing_Risk_and_Caution_The_Precautionary_Principle_in_In_a7d0354449.txt,exact,True,True,0.966,1,35.8,""
59,garuda__Law__Balancing_Risk_and_Caution_The_Precautionary_Principle_in_In_a7d0354449.txt,paraphrase,True,True,0.968,1,35.8,""
60,garuda__Law__Balancing_Risk_and_Caution_The_Precautionary_Principle_in_In_a7d0354449.txt,light_modify,True,True,0.888,1,36.3,""
61,legit_00,unique,False,False,0.0,0,35.5,""
62,legit_01,unique,False,False,0.0,0,34.0,""
63,legit_02,unique,False,False,0.0,0,35.9,""
64,legit_03,unique,False,False,0.0,0,35.4,""
65,legit_04,unique,False,False,0.0,0,35.2,""
66,legit_05,unique,False,False,0.0,0,36.0,""
67,legit_06,unique,False,False,0.0,0,35.1,""
68,legit_07,unique,False,False,0.0,0,36.3,""
69,legit_08,unique,False,False,0.0,0,34.8,""
70,legit_09,unique,False,False,0.0,0,35.3,""
